run_id,seed,profile_id,n_steps,strategy_buyer,strategy_seller,agreement,agreement_outcome,rounds,u_buyer,u_seller,welfare,frontier_optimal_welfare,pareto_distance,nash_distance,kalai_distance,ks_distance,money_left_on_table,welfare_regret,nash_gap
73,33,A,12,BoulwareTBNegotiator,LinearTBNegotiator,0,,4,0.002693136349646045,0.002693136349646045,0.00538627269929209,1.0,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.994613727300708,0.994613727300708,0.994613727300708
74,34,A,12,BoulwareTBNegotiator,LinearTBNegotiator,1,"[0, 6, 7, ""premium""]",10,0.6783625730994152,0.3216374269005847,0.9999999999999999,1.0,1.1102230246251565e-16,0.24810764252159562,0.24810764252159562,0.24810764252159562,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
75,35,A,12,BoulwareTBNegotiator,LinearTBNegotiator,0,,1,0.002693136349646045,0.002693136349646045,0.00538627269929209,1.0,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.994613727300708,0.994613727300708,0.994613727300708
76,36,A,12,BoulwareTBNegotiator,LinearTBNegotiator,1,"[0, 6, 7, ""premium""]",10,0.6783625730994152,0.3216374269005847,0.9999999999999999,1.0,1.1102230246251565e-16,0.24810764252159562,0.24810764252159562,0.24810764252159562,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
77,37,A,12,BoulwareTBNegotiator,LinearTBNegotiator,0,,2,0.002693136349646045,0.002693136349646045,0.00538627269929209,1.0,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.994613727300708,0.994613727300708,0.994613727300708
78,38,A,12,BoulwareTBNegotiator,LinearTBNegotiator,0,,0,0.002693136349646045,0.002693136349646045,0.00538627269929209,1.0,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.994613727300708,0.994613727300708,0.994613727300708
79,39,A,12,BoulwareTBNegotiator,LinearTBNegotiator,1,"[0, 6, 7, ""premium""]",10,0.6783625730994152,0.3216374269005847,0.9999999999999999,1.0,1.1102230246251565e-16,0.24810764252159562,0.24810764252159562,0.24810764252159562,1.1102230246251565e-16,1.1102230246251565e-16,1.1102230246251565e-16
80,0,A,12,BoulwareTBNegotiator,ConcederTBNegotiator,1,"[1, 10, 0, ""standard""]",8,0.8771929824561403,0.12280701754385964,1.0,1.0,1.3877787807814457e-17,0.5292963040460705,0.5292963040460705,0.5292963040460705,0.0,0.0,0.0
81,1,A,12,BoulwareTBNegotiator,ConcederTBNegotiator,1,"[1, 10, 0, ""standard""]",8,0.8771929824561403,0.12280701754385964,1.0,1.0,1.3877787807814457e-17,0.5292963040460705,0.5292963040460705,0.5292963040460705,0.0,0.0,0.0
82,2,A,12,BoulwareTBNegotiator,ConcederTBNegotiator,1,"[1, 10, 0, ""standard""]",8,0.8771929824561403,0.12280701754385964,1.0,1.0,1.3877787807814457e-17,0.5292963040460705,0.5292963040460705,0.5292963040460705,0.0,0.0,0.0
83,3,A,12,BoulwareTBNegotiator,ConcederTBNegotiator,1,"[1, 10, 0, ""standard""]",8,0.8771929824561403,0.12280701754385964,1.0,1.0,1.3877787807814457e-17,0.5292963040460705,0.5292963040460705,0.5292963040460705,0.0,0.0,0.0
84,4,A,12,BoulwareTBNegotiator,ConcederTBNegotiator,1,"[1, 10, 0, ""standard""]",8,0.8771929824561403,0.12280701754385964,1.0,1.0,1.3877787807814457e-17,0.5292963040460705,0.5292963040460705,0.5292963040460705,0.0,0.0,0.0
85,5,A,12,BoulwareTBNegotiator,ConcederTBNegotiator,0,,2,0.002693136349646045,0.002693136349646045,0.00538627269929209,1.0,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.994613727300708,0.994613727300708,0.994613727300708
86,6,A,12,BoulwareTBNegotiator,ConcederTBNegotiator,0,,0,0.002693136349646045,0.002693136349646045,0.00538627269929209,1.0,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.994613727300708,0.994613727300708,0.994613727300708
87,7,A,12,BoulwareTBNegotiator,ConcederTBNegotiator,1,"[1, 10, 0, ""standard""]",8,0.8771929824561403,0.12280701754385964,1.0,1.0,1.3877787807814457e-17,0.5292963040460705,0.5292963040460705,0.5292963040460705,0.0,0.0,0.0
88,8,A,12,BoulwareTBNegotiator,ConcederTBNegotiator,0,,7,0.002693136349646045,0.002693136349646045,0.00538627269929209,1.0,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.7033102676244063,0.994613727300708,0.994613727300708,0.994613727300708
89,9,A,12,BoulwareTBNegotiator,ConcederTBNegotiator,1,"[1, 10, 0, ""standard""]",8,0.8771929824561403,0.12280701754385964,1.0,1.0,1.3877787807814457e-17,0.5292963040460705,0.5292963040460705,0.5292963040460705,0.0,0.0,0.0
